no,image,object,text,situation,modifier
68,image68-2.png,microphones,There are more than three microphones in the boxes.,approximate,comparative
69,image69-1.png,bugs,There are four bugs in the boxes.,precise,bare
69,image69-1.png,bugs,There are at least four bugs in the boxes.,precise,superlative
69,image69-1.png,bugs,There are more than three bugs in the boxes.,precise,comparative
69,image69-2.png,bugs,There are four bugs in the boxes.,approximate,bare
69,image69-2.png,bugs,There are at least four bugs in the boxes.,approximate,superlative
69,image69-2.png,bugs,There are more than three bugs in the boxes.,approximate,comparative
70,image70-1.png,chicks,There are four chicks in the boxes.,precise,bare
70,image70-1.png,chicks,There are at least four chicks in the boxes.,precise,superlative
70,image70-1.png,chicks,There are more than three chicks in the boxes.,precise,comparative
70,image70-2.png,chicks,There are four chicks in the boxes.,approximate,bare
70,image70-2.png,chicks,There are at least four chicks in the boxes.,approximate,superlative
70,image70-2.png,chicks,There are more than three chicks in the boxes.,approximate,comparative
